MISSING COMPONENT REFERENCES REPORT (BY SHEET)
Generated: 2026-01-21 17:02:16

WHAT TO FIX:
The following component names in your Excel sheets don't match any uploaded components.
Please check the spelling or make sure these components exist in the system.

====================================================================================================

SHEET: Excursions Package
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Row       | Row Name                                                    | Missing Component                                                            | Type            
669       | Mirador Ferrier & Monzino Hike                              | "Remota Lodge to Activity Remota Lodge"                                      | transfer        
670       | Milodon Cave Hike                                           | "Remota Lodge to Puerto Natales Remota Lodge Driver Only"                    | transfer        
671       | Mirador del Toro Hike                                       | "Remota Lodge to Puerto Natales Remota Lodge Driver Only"                    | transfer        
672       | Mirador Ferrier & Monzino Hike                              | "Remota Lodge to Puerto Natales Remota Lodge Driver Only"                    | transfer        
673       | Pingo Valley Day Hike                                       | "Remota Lodge to Activity Remota Lodge"                                      | transfer        
674       | Pinturas Rupestre Hike                                      | "Remota Lodge to Activity Remota Lodge"                                      | transfer        
675       | Puerto Natales City Tour                                    | "Remota Lodge to Activity Remota Lodge"                                      | transfer        
676       | Pingo Valley Day Hike (Remota)                              | "Remota Lodge to Activity Remota Lodge"                                      | transfer        
678       | Puerto Natales City Tour                                    | "Remota Lodge to Puerto Natales Remota Lodge Driver Only"                    | transfer        
698       | Atacama Salt Flats tour                                     | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
699       | Cejar Lagoon Bike Ride                                      | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
700       | Cejar Lagoon Hike & Bathe                                   | "Activity to Tierra Atacama Tierra Guided"                                   | transfer        
701       | Cerro Toco Summit Ascent Hike                               | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
702       | Devil's Canyon Hike                                         | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
703       | Guatin Cactus Valley Hike                                   | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
704       | High Plains Lagoons & Piedras Rojas hike                    | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
705       | Purilactis Hike                                             | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
706       | Rainbow Valley - Half-day Hike                              | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
707       | Tatio Geysers                                               | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
708       | Vallecito hike                                              | "Tierra Atacama to Activity Tierra Guided"                                   | transfer        
709       | Baguales Fossil Trail Hike                                  | "Tierra Patagonia to Activity Tierra"                                        | transfer        
710       | Base of the Towers Viewpoint Hike                           | "Tierra Patagonia to Activity Tierra"                                        | transfer        
711       | Canadon Macho Hike                                          | "Tierra Patagonia to Activity Tierra"                                        | transfer        
712       | Cuernos Viewpoint Hike                                      | "Tierra Patagonia to Activity Tierra"                                        | transfer        
713       | Estancia Lazo Horse Ride                                    | "Tierra Patagonia to Activity Tierra"                                        | transfer        
714       | Estancia Lazo to Weber Bridge Hike                          | "Tierra Patagonia to Activity Tierra"                                        | transfer        
715       | Fauna Trail                                                 | "Tierra Patagonia to Activity Tierra"                                        | transfer        
716       | Glacier Grey Boat Trip & Hike                               | "Tierra Patagonia to Activity Tierra"                                        | transfer        
717       | Glacier Grey Sailing; Touring the Paine Massif              | "Tierra Patagonia to Activity Tierra"                                        | transfer        
718       | Lago Pehoé Boat Ride and French Valley Hike                 | "Tierra Patagonia to Activity Tierra"                                        | transfer        
718       | Lago Pehoé Boat Ride and French Valley Hike                 | "Lago Pehoé: Pudeto Dock to Paine Grande Dock Tierra Patagonia"              | transfer        
719       | Sarmiento Lake Hike                                         | "Tierra Patagonia to Activity Tierra"                                        | transfer        
723       | Beagle Channel Half-Day Boat Excursion                      | "Ushuaia Hotel to Activity H&T"                                              | transfer        
729       | End of the World Train and National Park Walk               | "Ushuaia Hotel to Activity H&T"                                              | transfer        
729       | End of the World Train and National Park Walk               | "End of the World Train Station and Tierra del Fuego National Park Walk"     | activity        
730       | End of the World Train and National Park Walk               | "End of the World Train Station and Tierra del Fuego National Park Walk"     | activity        
735       | Estancia Túnel Biking                                       | "Ushuaia Hotel to Activity H&T"                                              | transfer        
741       | Laguna Esmeralda Hike                                       | "Ushuaia Hotel to Activity H&T"                                              | transfer        
744       | Laguna Esmeralda, Ojo del Albino Glacial Traverse           | "Ushuaia Hotel to Activity H&T"                                              | transfer        
747       | Laguna Turquesa & Carabajal Valley Hike                     | "Ushuaia Hotel to Activity H&T"                                              | transfer        
750       | Lapataia Experience - Ushuaia                               | "Ushuaia Hotel to Activity H&T"                                              | transfer        
753       | Martial Glacier Dinner at Night                             | "Ushuaia Hotel to Activity H&T"                                              | transfer        
